10000
ID NAME TEAM SCORE COMPETITIONS COST POTATOE
7001 xJjb Lambda 4.4 14 1264 true
2358 Vld Alpha 4.1 25 7894 true
5123 TdAkR Gamma 2.3 7 429 false
9025 hkRhVNHaGW Beta 8.4 122 6493 false
7776 FkhTjneun Theta 9.8 93 8864 false
293 qRK Lambda 3.4 33 1020 true
9180 yRhgMufyt Theta 3.2 244 4130 false
1311 EXSg Lambda 9.1 75 4815 false
3643 QpkYO Gamma 5.8 186 2914 true
1630 SgXxyqoba Beta 8.7 63 9000 false
8307 eCJILJIriv Alpha 8.5 139 7270 false
3833 EUrFgx Beta 0.3 19 9810 true
8276 FRIlOjj Pi 0.7 218 4468 false
1817 cFSDUL Epsilon 2.6 55 6682 true
1647 HkYBue Theta 6.9 50 4850 false
8788 fmvJLdJgKe Gamma 8.6 40 2029 false
4322 nEfxZU Delta 1.1 81 4017 true
3907 yPrHvLTbp Pi 8.8 143 311 true
4128 HlVHLo Delta 8.5 7 1047 true
4635 OPWlivE Epsilon 3.8 206 9135 true
2497 rUdbqzsgf Tau 6.0 7 1187 false
2219 ycDfDnF Alpha 6.7 79 7523 true
8028 mFSRaJu Delta 6.4 60 6891 false
5871 umxQekZkL Theta 9.0 33 4388 false
8369 GLQcVMhmBo Delta 7.6 96 6509 true
8088 LctTyjwyG Alpha 4.8 222 5682 true
3534 CNfCxGsy Epsilon 7.2 64 6091 true
6143 nqgenNxH Delta 6.1 170 3343 true
4989 JlwrV Tau 4.4 129 8972 true
7629 jnbaliKM Tau 8.7 106 7538 true
9119 JuSxkWjlwk Theta 1.9 200 1901 true
5533 JcUqZemqz Alpha 2.0 35 154 false
4366 bXz Gamma 6.0 210 9185 false
1054 JvGaBj Gamma 8.4 212 5486 false
1306 LbUTCi Pi 7.9 113 6144 false
1727 AdIoHl Gamma 4.1 211 4020 false
6010 pcpEQ Epsilon 8.0 237 3727 true
7278 riqUuSJ Pi 4.3 1 8698 false
7467 ZSpRpMMnQ Alpha 8.2 205 6279 true
531 Fbs Delta 0.7 149 8201 true
5462 AcFW Theta 2.8 220 1578 true
5810 oyDHi Lambda 0.2 137 5608 false
9509 rZdwytggN Pi 9.1 216 6500 false
3845 dYkgM Tau 2.0 174 1982 true
2790 Cis Delta 8.6 226 320 false
6935 rPorHzzoL Alpha 6.2 100 4187 true
465 Bani Lambda 3.9 52 7905 true
1151 VzMfjHMIm Epsilon 8.8 222 6484 false
8193 xmTAbzaj Theta 6.1 28 9039 true
9525 OLeNCvtPG Pi 7.3 69 2314 false
7771 qCJcwSN Theta 5.3 241 1704 true
8321 DdKirFVtc Delta 5.1 163 4286 true
9677 QYSfOl Gamma 8.6 165 9174 true
8648 rNtbnHnHoF Alpha 2.6 102 9133 true
730 DDNLacOhAr Tau 3.7 103 5853 false
3273 Yyyo Lambda 0.6 99 2909 false
2602 BrofQtFzaO Theta 2.1 74 307 true
728 tPS Pi 8.5 241 3504 false
8456 YKrBS Delta 9.2 232 499 true
9363 bNCq Tau 5.3 93 942 false
247 JaPZm Beta 1.0 109 5926 false
2747 OBjn Tau 2.9 245 445 true
8299 mgdIQpmmWP Beta 3.5 24 1339 true
6270 pAIK Delta 9.3 95 3843 false
9741 gpIf Theta 3.8 61 5874 false
159 FcwhD Gamma 2.2 66 6202 false
1966 ZXr Beta 0.5 84 5514 true
6894 CkbxN Epsilon 1.6 65 2907 true
2585 VYhzaNqT Tau 2.4 230 5255 true
4013 ncVgVugw Alpha 6.6 236 2681 false
7352 kuQfV Lambda 2.0 244 8178 true
5920 glcFOmMERA Delta 8.4 139 3925 false
3113 CTkpYKvxo Delta 8.9 102 8319 true
8422 WDHdEcu Beta 9.8 63 8211 false
8611 eQMfCA Delta 5.8 166 4748 true
3933 OochhjW Delta 9.1 52 4440 false
812 vTgWXhkdhK Alpha 5.3 33 4599 false
1031 NgONqINBFe Delta 8.5 204 8051 true
2563 OmCIWC Tau 4.9 42 5559 false
547 yNhsZMgIhl Theta 5.3 136 1834 true
8686 xaikJvwM Delta 1.6 49 3298 false
4562 XDeR Beta 2.8 249 964 false
523 AFYolXFEKL Delta 8.2 52 5532 true
6533 qeTGVNtQo Theta 6.9 198 1287 true
7722 FdQxanlc Beta 8.0 52 2403 true
9789 GYCYoH Delta 1.8 79 5123 false
4787 AfudvHRw Epsilon 4.1 217 3575 false
4896 BqzYeH Pi 6.3 224 9621 false
8217 oTKRGeavj Pi 4.4 94 1138 false
4318 lUyxAMWCU Alpha 9.1 247 9500 false
9896 pAziBgcKjh Tau 2.2 236 5612 true
9858 wwVFqogQCx Tau 2.4 145 9711 false
8930 QoJc Lambda 8.6 43 3361 false
4577 VCrYStAZOJ Lambda 9.6 168 3875 true
9930 dZPmtAQi Pi 10.0 115 2950 true
7414 nNLTdAwd Delta 7.7 65 3857 true
5456 AmKFNsB Epsilon 6.3 119 1590 true
7294 UyCjwDtJdt Tau 5.3 188 5555 true
1617 QrObgzNLFP Lambda 3.3 94 5206 false
6591 yeKmaZJLW Tau 6.1 152 4476 true
1710 KMUF Alpha 6.2 120 1820 true
7633 VrUVoodtF Lambda 8.2 21 6578 true
9013 MxngSu Delta 8.1 165 2068 true
8888 tEzxAXImnX Tau 6.8 26 3051 true
9325 JMJbaxUGy Lambda 8.6 91 7487 false
6843 LKEz Gamma 7.8 179 2687 true
5620 gGYdnEtDsu Tau 1.7 63 9129 false
6596 LcfSXXJwl Epsilon 6.2 156 4331 true
6437 NCZMhAyy Theta 3.8 210 4679 true
3072 FbyPMlc Epsilon 7.0 172 3471 false
2774 cnSS Delta 4.3 189 6327 true
9215 TMwW Gamma 1.3 139 4428 false
3083 efleKTw Beta 0.3 82 2721 false
7881 ExHraX Beta 1.2 33 2577 true
6191 clHtPTIp Delta 5.0 203 2874 false
5276 CMHWTIF Gamma 7.0 124 8598 true
7570 ORCkC Lambda 9.2 246 4586 true
7573 oNGgoe Tau 2.2 0 1857 true
7379 UKMdLb Lambda 5.3 69 2177 false
7793 cYn Pi 9.7 51 5487 true
1772 fvMf Theta 9.1 224 8354 false
9912 peW Alpha 0.9 90 3316 false
5164 dYY Beta 9.1 144 1045 true
2605 FRe Pi 2.4 44 4842 true
3029 wtKufQ Alpha 6.8 244 8287 true
7435 VJBx Epsilon 6.8 209 3822 true
4154 FDKT Theta 9.8 158 5638 false
2124 yxcKERUM Theta 3.2 106 7443 false
9890 TGMVrE Alpha 6.2 157 693 true
49 WvjYzuMkns Epsilon 0.7 238 4015 true
2347 qDdJyvC Theta 6.5 104 3355 true
4498 MlovBwus Alpha 1.8 80 7299 false
6950 Rgjfu Pi 5.9 59 5491 true
1396 mYuh Theta 8.3 95 991 true
2922 BGGC Gamma 9.6 166 8379 true
5214 qyjDtlb Beta 6.0 161 1389 false
7338 AcWsS Theta 4.5 182 8118 true
16 SlKnfYKU Alpha 1.3 144 3979 true
1042 ypW Lambda 6.6 17 3745 true
7807 hGUD Beta 5.5 188 9378 false
7275 WTmAEQe Beta 5.3 226 3922 false
2514 cyXtqZ Theta 7.9 154 7255 false
7619 MbdLX Beta 6.0 114 5274 true
3234 ZHeEkGU Epsilon 7.6 120 100 false
1953 RiQ Beta 7.8 46 8165 false
8862 oNRknyR Delta 2.4 123 2192 true
1502 dYrrsFAqN Theta 8.7 15 4262 true
5437 eZkIagabo Beta 7.8 250 231 false
4312 lucuABG Gamma 6.5 164 7005 false
3900 mNvVkXAvn Lambda 4.5 95 1862 true
1518 TVeHfN Theta 6.6 38 2464 false
6840 VdrWiJVUHc Tau 1.9 122 2752 true
8274 oSPlG Delta 0.6 211 5399 false
7830 EhQGU Theta 1.0 172 4013 true
7050 DSC Beta 1.0 160 5036 true
2164 dySKjPIDJU Theta 2.5 110 5060 false
5226 JdA Pi 1.2 84 5830 true
2704 LwlHul Epsilon 7.1 97 4239 false
5496 WuXIxlkv Lambda 4.4 37 6647 true
2717 wZoqqubpZ Delta 4.4 18 4407 false
9603 WJA Epsilon 0.3 6 1644 true
5139 orSlDouu Epsilon 9.1 10 4478 true
9534 KsaIH Theta 2.3 177 6726 false
5158 uops Pi 5.1 171 2461 false
7710 FmUiMXLt Beta 2.1 58 7405 false
2843 CwkNtLZtN Theta 9.6 127 2365 true
1875 ONKXXur Epsilon 7.0 211 1898 true
2980 Inf Pi 6.2 221 5497 false
2864 gVVmnBw Lambda 2.5 7 3555 false
6955 XJRc Alpha 1.4 128 3410 false
1163 vfUk Tau 9.5 162 2878 true
6366 tAQ Tau 2.1 22 800 false
8207 sglARKWQeK Theta 4.6 238 6639 true
3909 llJJiCdoKn Tau 5.0 47 3267 true
7213 gSMHVd Alpha 7.8 249 5284 false
6228 ktNPK Theta 9.3 208 1178 false
2465 EVB Theta 6.9 106 378 true
645 xvpaieUEf Delta 3.6 244 4353 true
2705 hYG Tau 3.7 102 1216 true
4745 pOrxcl Epsilon 7.6 142 3220 true
515 plMAzTk Tau 9.0 232 6659 true
3209 lbPXomLLdY Beta 6.3 38 7625 false
2773 umwgEWzVf Theta 2.6 164 7771 false
8114 HyF Beta 1.5 18 6880 false
5118 fYmmXQy Beta 4.1 193 4198 false
253 Jkxin Beta 8.9 245 965 true
2721 TJHLcY Beta 9.9 227 7788 true
8080 aLdHGORm Gamma 5.4 24 8367 false
2022 VWa Lambda 9.6 15 7982 true
1598 wfwpfJcU Alpha 6.5 156 5484 true
434 FECd Epsilon 3.7 78 4227 false
1253 oGKB Beta 2.0 202 4396 true
6198 VAj Delta 6.9 152 8684 false
1449 uBFpu Lambda 0.4 63 9933 true
7572 YfQMDcG Theta 7.1 46 4921 false
2000 WFBakE Delta 1.5 246 7237 true
1407 HaRGvFp Beta 5.1 123 3643 false
7336 UfwiZaX Tau 0.6 126 3412 true
163 GfrEFz Alpha 9.6 68 1788 true
1220 kyAtluq Lambda 0.1 166 1990 false
8696 ATFFeqO Gamma 6.4 155 2696 false
7286 Mxh Gamma 1.4 241 3191 true
21 FAQkkEP Alpha 6.3 214 6402 false
2734 vRq Gamma 4.8 223 2415 true
1455 HEQ Theta 8.0 24 9893 true
2613 HHXlVRMiEb Delta 7.0 106 9626 true
6917 MMBM Tau 6.2 4 5827 true
8674 TWkTQeD Beta 7.8 32 5240 true
7403 HnObKQWsyd Theta 7.4 115 9340 true
7365 uNhsIzB Lambda 7.2 154 3737 false
1187 grrgtEUCqr Delta 3.7 20 9700 true
5815 BmWDVXQyUQ Alpha 8.9 196 2287 true
8254 repIbYxo Gamma 6.0 95 879 true
1912 OEjcRWr Delta 3.8 18 2770 false
3650 euL Lambda 6.4 29 7672 false
1583 wjCQI Lambda 1.6 11 8008 false
8760 PTHtxCZ Gamma 1.7 24 5587 true
7587 BeGAu Beta 3.6 155 9867 true
3518 yHWeMT Beta 4.3 249 4168 false
1232 sHkd Tau 7.7 14 132 false
3094 SIYryyjWWr Epsilon 10.0 31 6322 false
2935 MdIBkUTYHn Lambda 1.0 23 3723 true
4192 uev Theta 3.7 172 542 true
4565 jNKRONb Gamma 0.3 77 1701 false
4513 cUe Gamma 7.1 47 6682 true
2319 opdjZP Beta 4.0 169 4226 false
9275 KUg Tau 9.3 248 9647 true
7373 HUIxN Tau 1.0 234 2311 true
7716 rLgHiUXE Beta 8.3 205 1156 false
6247 jpsrEoQgi Beta 5.5 100 6553 true
3305 xHUyfk Alpha 4.0 136 6689 false
3262 DHSiOAd Beta 2.9 177 1254 true
5313 ALiYBfprat Theta 1.2 226 6620 true
4586 EkH Epsilon 2.8 235 5269 true
4024 WEpcqCKHMJ Beta 8.4 44 5107 false
5739 KYmkmOxysp Lambda 2.5 203 3381 false
7832 BAaHWLLluS Pi 7.3 211 5245 true
1400 GJl Gamma 6.7 55 7578 false
1511 lMHjPOFXpm Alpha 3.3 14 2325 false
2784 XeL Pi 3.1 156 3068 true
8018 UCOjAKi Alpha 1.5 241 6987 true
4175 QRLa Delta 2.4 53 3859 false
7436 HAEjMRDxNp Gamma 9.4 7 799 true
6751 KgdtuhNjv Epsilon 9.2 54 3040 true
5661 kxCrlDSW Gamma 4.0 237 3159 true
6394 WYCipaUar Pi 4.1 192 9362 false
123 IIaFrnths Tau 3.0 187 3637 true
8023 cDrHtoiMS Alpha 4.8 152 9222 false
4385 anMXGu Alpha 8.8 244 6230 false
516 jHoym Pi 9.6 53 4181 true
6541 ijjFdXk Pi 5.2 152 2524 false
8626 kRuTyOZua Tau 0.6 189 6376 false
8765 dMGpxb Lambda 4.5 3 9768 false
7058 iKAtjqnAH Tau 3.5 36 1547 false
9037 hkLyCcWlG Tau 7.1 9 6094 false
134 xswJEHs Beta 2.4 186 3988 false
7440 bFyM Tau 1.2 181 6932 false
1451 xupikYe Gamma 9.4 8 7424 true
5250 ovqxXz Alpha 8.2 183 2773 false
3409 wzIBXTVd Delta 4.9 5 2601 false
1099 Rmgh Theta 8.2 91 3031 false
7789 LxEAB Pi 3.2 182 2817 true
3743 rgd Beta 9.1 20 3543 false
131 cwFAEgNB Beta 0.9 127 6316 true
2103 eAgvH Pi 8.8 190 7829 true
6590 WOpxQuxAk Pi 5.4 181 985 false
5500 IQrFW Pi 8.0 11 9970 true
5140 ouHXGJFsHU Epsilon 1.7 249 9701 false
6809 QXAIvqPEY Gamma 4.1 144 3183 true
866 nvbqAd Epsilon 4.5 240 2521 true
8034 YYRzL Pi 0.7 94 6995 false
6351 KRfh Epsilon 4.5 136 9446 false
675 WAz Epsilon 0.6 223 3898 true
5907 OCuahd Theta 2.9 24 4122 true
8004 hRyfH Delta 1.2 179 6711 false
7401 DQMBAtcEq Beta 4.6 104 9859 false
2975 ZSC Gamma 6.2 191 386 false
1093 CAtvirPOki Delta 5.4 130 7183 true
1257 gmQinKe Gamma 3.2 61 1148 true
4216 pce Delta 6.3 86 9048 false
9995 mGXxCTsF Epsilon 9.2 224 6969 true
6745 izqQV Theta 6.0 5 2601 true
1208 SAuMENlhKH Gamma 7.9 147 8032 true
441 LBpsPvzMU Lambda 7.7 169 6043 true
5899 pcB Pi 8.1 105 165 true
6495 lWoxSMtXm Beta 7.4 90 6372 true
1572 TBaIRfIO Delta 8.5 173 7382 false
6046 FdZOVVyh Gamma 5.0 149 8559 false
6974 noRn Tau 6.0 213 8056 true
3399 ePxYGUHhE Delta 8.5 197 709 false
4135 WpV Beta 8.1 248 9658 false
1416 pPJp Lambda 8.3 164 7565 false
6921 nQot Gamma 5.0 77 183 false
4532 BoFCsxFXbh Beta 1.4 44 1049 true
9725 elO Pi 9.2 161 9745 true
4379 FNo Gamma 7.5 121 2366 false
2777 FJoJviEm Alpha 4.8 63 2504 false
7405 voPqJu Delta 1.1 133 5619 true
1920 MMsQOIsoO Pi 5.9 23 9551 false
4199 wgV Pi 0.8 212 8384 true
9953 QQKBuJh Beta 9.5 210 9308 true
9062 FfjINi Tau 3.4 32 1301 false
8886 jEzjkYmgGJ Delta 1.5 34 2046 false
9689 xhwMNzo Theta 5.5 145 4620 true
5734 TXWqCWULsD Beta 5.2 65 2826 false
3744 GvyJdAoVQ Lambda 7.1 225 9351 false
9074 Amj Beta 8.2 248 3771 true
6505 dDVI Delta 1.6 173 137 true
8954 gIzakcGhi Alpha 2.9 91 8140 false
5541 XFAv Tau 9.6 81 410 true
2718 kYKptkvO Theta 6.9 37 4086 true
2460 YneDqcuPCr Gamma 1.8 51 5383 false
922 kxZRDwFBaK Delta 1.4 104 6091 false
2171 WpmjntdPKt Pi 2.4 22 5413 true
8524 ZXpWE Pi 2.3 146 9356 false
6734 XpKC Lambda 4.7 99 1002 false
9443 kPFejQDisW Lambda 8.0 118 2179 false
1588 NboIR Alpha 5.5 28 2494 true
921 DGNqoY Epsilon 0.7 217 7818 true
6392 qNzloLDq Epsilon 0.5 31 884 false
5108 RnHs Lambda 9.8 249 1240 true
8649 MtyqSWA Epsilon 9.0 78 4021 false
5440 DaMVyI Epsilon 8.9 81 9686 false
3815 qfl Tau 0.3 105 3636 false
8156 eFk Tau 1.8 230 9279 true
7486 CXTfQT Delta 2.7 213 9523 false
8364 ULrMCUn Epsilon 7.4 92 2677 false
6048 lkVinLvhjP Lambda 4.4 147 985 true
3984 QjfV Delta 0.1 54 8060 true
9334 nVko Delta 9.2 171 703 true
3572 otUiOn Gamma 0.1 17 5136 true
5878 XbSdlshV Gamma 5.0 96 4685 true
1478 ckj Pi 7.4 184 2093 false
6000 pREUQgvybn Tau 3.1 92 6828 false
2479 HgLhMiMnnt Pi 4.4 240 9090 true
5050 tOctWQJuM Pi 1.9 35 2698 true
9154 hnN Tau 1.5 41 1102 false
4923 QYCBBez Tau 9.4 7 3606 false
4347 OVWMI Beta 4.0 221 7150 true
5589 ola Alpha 1.7 189 7526 false
5036 FgvnNWiVm Beta 1.8 127 1775 true
4544 OceaML Theta 4.6 215 6560 false
1978 dDMThL Lambda 7.5 139 3401 false
2242 FCLyVA Delta 5.8 176 3448 false
4224 bEZZHkK Gamma 5.3 69 6630 true
3123 EvKiNpOe Tau 7.7 215 2304 true
2285 BQzuQcI Lambda 9.9 247 2784 true
8091 dIjzQVP Delta 6.5 124 9798 true
2113 MkuMdoJU Tau 7.1 237 1162 true
4058 IdpKpM Tau 7.7 249 1879 false
9711 YjceXfMGzz Tau 3.8 224 9136 false
190 vKjqpZNS Beta 5.1 23 3276 false
4354 bCqTszvxz Alpha 9.5 74 4989 true
4427 nGozh Lambda 2.2 49 9284 false
522 Vzu Gamma 7.6 77 6495 false
8802 MWMORtTDe Tau 2.2 78 840 false
9303 LUTwMC Gamma 4.9 103 6657 true
2411 SZrdOVBHbw Gamma 4.8 194 768 false
6288 oOtODKE Gamma 5.1 163 8345 false
3250 UiAiOrZ Lambda 3.3 9 3451 true
3326 dfdIY Gamma 3.5 203 4812 false
2173 mbBu Tau 6.3 98 4321 false
1549 WofvXuUX Pi 9.9 231 8627 true
8436 qMXQIoQriH Theta 8.0 94 9507 false
4097 nzEPCKiXV Lambda 6.0 23 5547 false
8110 gKCtLubfXG Delta 7.0 117 1077 true
4552 QjAu Alpha 0.1 138 3093 false
2362 bIBXio Beta 3.9 167 1108 true
9472 YcTujytl Gamma 7.5 112 2467 true
6213 jBcWgNF Alpha 7.8 187 5530 false
9473 HHcd Alpha 6.8 180 3184 false
8757 ktdqam Delta 5.4 240 8787 false
512 fOdYOT Lambda 2.1 184 3778 false
285 SWmdcbrGB Epsilon 5.2 87 8013 true
6487 uRtBdhBy Gamma 2.1 119 8690 true
7225 rRJG Alpha 4.7 152 4087 true
6983 woPJEY Tau 3.3 39 5566 true
8916 etTRgIx Theta 3.4 129 8285 true
1699 dQaGvGAWc Alpha 3.0 121 7722 true
8186 YlpJ Tau 0.8 73 3920 true
3466 cGhPua Beta 9.6 110 2616 true
2337 iirdzxsh Gamma 9.2 178 1575 false
9368 rsiZRHUT Beta 3.4 145 3517 false
3119 qnCN Lambda 9.4 56 80 true
8577 AErQ Beta 1.3 65 8143 true
9146 IjQ Beta 8.9 221 8758 true
9575 kOpbP Theta 9.4 248 9187 true
9746 RDTA Pi 4.0 206 4516 true
4118 oHsMeJr Gamma 9.0 239 7079 false
4016 qvllRiV Tau 3.3 99 5866 true
6294 CGVae Gamma 7.8 57 5323 true
8304 OSI Beta 1.3 159 4624 true
4740 imVbXg Alpha 2.7 135 3798 false
1919 VGKBYYG Alpha 6.0 190 1966 false
889 GCKsOE Gamma 0.7 128 2109 true
6562 GvMQcgvnLg Tau 0.2 141 9047 false
4408 EJefoLevT Lambda 9.7 55 3073 false
7411 qpc Epsilon 7.7 2 8080 false
7491 TPcniwm Lambda 5.3 129 4577 false
6276 DidBKFT Theta 5.9 249 3513 true
898 TDHuAL Delta 7.5 156 2025 true
6293 OJCyTOuu Lambda 6.7 62 7130 true
3648 bbRh Alpha 0.4 122 3211 true
1022 PMzy Epsilon 1.0 164 8498 true
5695 CgH Epsilon 0.5 245 3627 false
6786 ctQuwqI Epsilon 4.1 238 5770 true
831 MlCFrDBLU Alpha 3.0 95 5082 false
8720 ezUBZLOMw Lambda 0.2 189 2520 false
425 wiLz Beta 10.0 199 1106 false
6683 oJgtSg Tau 1.3 173 9281 false
6606 rUHPMWLj Theta 1.2 176 6479 false
8306 fKasjf Gamma 5.3 102 5346 false
5652 vqQ Beta 0.1 137 9270 true
3505 fol Epsilon 6.4 143 3824 true
57 XddMkF Lambda 2.5 41 3084 true
4768 dSKKSHs Delta 1.4 81 1660 true
2927 iuFQ Gamma 0.6 104 820 false
6481 RGNPjWDQSe Pi 9.1 243 3825 true
3188 jeynRv Epsilon 7.8 40 2051 true
6062 hVAt Alpha 1.0 68 1174 true
9411 bMqWNpoS Epsilon 2.5 152 6838 true
2853 EyQdEa Alpha 5.4 17 7830 true
3330 vyPkh Tau 2.6 86 2197 true
8956 vOxWoPM Beta 0.9 52 1113 false
9238 LZLFIReFn Tau 1.4 208 3657 true
3085 SWIyKdC Tau 6.3 44 5617 false
1840 lRwb Delta 3.5 171 5967 false
6906 segsvOl Theta 2.3 136 6275 false
7680 BxZRJ Pi 8.8 236 8856 true
3129 aRbJRoJ Delta 8.5 210 8209 true
3021 CjucAZOH Tau 1.9 124 7560 false
2283 fSUnfDf Theta 8.1 242 831 true
12 IWyLAA Beta 4.2 173 7977 true
3035 PnNfPIbEB Tau 7.1 43 4940 true
5288 nqNRIlD Beta 2.6 123 4356 false
2949 sdiYCm Tau 5.5 188 7358 false
9964 Ajb Delta 9.6 65 4366 false
1802 aNLcGBGVu Delta 0.4 56 4198 false
533 FXw Delta 7.4 128 8787 true
1461 kNMrQWs Epsilon 7.6 12 6434 false
3835 dnWEXnZB Theta 2.6 20 9165 false
688 vLsLQR Gamma 9.0 121 2939 true
5053 oFlrDrKR Alpha 9.6 34 2865 false
6503 gifOT Gamma 9.5 164 9056 false
7714 MPpn Beta 4.7 172 7947 true
7985 CmCEpEhOmh Gamma 9.4 20 8463 false
3028 IdnOD Gamma 4.1 76 5201 false
5116 OKKbg Tau 5.6 174 8257 false
3138 TdBZO Gamma 2.3 27 1823 true
2911 kDyftRMkWh Tau 1.0 191 8288 false
7157 bGpZ Tau 2.3 212 4516 false
5736 uzH Tau 8.8 207 4547 true
92 QIC Theta 2.0 118 6376 true
8914 OGsF Gamma 5.3 34 7565 true
1694 AAKbC Gamma 0.2 52 6816 true
7012 Odv Pi 7.0 240 8196 true
9315 QcmlY Beta 3.2 241 4156 false
1497 OBAvwzaoy Pi 9.2 91 6240 true
7470 JUw Theta 3.8 55 5923 false
8937 LZm Epsilon 4.8 215 258 false
9344 SQSMu Lambda 7.6 138 6698 true
9788 Phsr Alpha 6.3 205 7268 true
3692 gyX Lambda 4.4 58 2586 true
7850 cBP Gamma 2.1 65 7799 false
9193 HCuOcUgNK Lambda 1.4 34 9993 false
3952 iAQXpfvPM Gamma 3.9 103 4609 false
